Grid_Number,Government_Facilities
495,8.0
496,8.0
497,8.0
498,9.0
499,7.0
500,5.0
501,5.0
502,7.0
503,9.0
504,50.0
505,5.0
506,7.0
507,29.0
508,394.0
509,501.0
510,134.0
511,141.0
512,159.0
513,162.0
514,185.0
515,155.0
516,607.0
517,591.0
518,528.0
519,426.0
520,336.0
521,284.0
522,265.0
523,230.0
524,193.0
525,143.0
526,134.0
527,119.0
528,116.0
529,98.0
530,69.0
531,56.0
532,8.0
533,8.0
534,8.0
535,8.0
536,10.0
537,8.0
538,5.0
539,5.0
540,6.0
541,8.0
542,28.0
543,78.0
544,164.0
545,242.0
546,309.0
547,394.0
548,128.0
549,134.0
550,135.0
551,140.0
552,153.0
553,116.0
554,125.0
555,524.0
556,442.0
557,371.0
558,352.0
559,309.0
560,304.0
561,289.0
562,232.0
563,181.0
564,131.0
565,83.0
566,40.0
567,30.0
568,24.0
569,23.0
570,8.0
571,8.0
572,8.0
573,9.0
574,10.0
575,8.0
576,6.0
577,5.0
578,5.0
579,7.0
580,18.0
581,51.0
582,128.0
583,196.0
584,234.0
585,314.0
586,97.0
587,95.0
588,92.0
589,518.0
590,514.0
591,498.0
592,112.0
593,116.0
594,371.0
595,96.0
596,85.0
597,328.0
598,330.0
599,334.0
600,277.0
601,231.0
602,165.0
603,121.0
604,80.0
605,38.0
606,27.0
607,25.0
608,13.0
609,8.0
610,7.0
611,13.0
612,13.0
613,11.0
614,5.0
615,5.0
616,5.0
617,6.0
618,15.0
619,30.0
620,91.0
621,156.0
622,202.0
623,245.0
624,64.0
625,333.0
626,390.0
627,407.0
628,409.0
629,409.0
630,386.0
631,338.0
632,112.0
633,99.0
634,107.0
635,82.0
636,424.0
637,448.0
638,425.0
639,400.0
640,294.0
641,215.0
642,158.0
643,119.0
644,76.0
645,48.0
646,9.0
647,4.0
648,4.0
649,4.0
650,13.0
651,12.0
652,8.0
653,5.0
654,5.0
655,6.0
656,15.0
657,18.0
658,60.0
659,90.0
660,125.0
661,36.0
662,210.0
663,253.0
664,302.0
665,308.0
666,313.0
667,312.0
668,290.0
669,283.0
670,313.0
671,333.0
672,105.0
673,114.0
674,476.0
675,488.0
676,465.0
677,464.0
678,409.0
679,328.0
680,236.0
681,159.0
682,109.0
683,71.0
684,4.0
685,4.0
686,4.0
687,11.0
688,17.0
689,11.0
690,8.0
691,5.0
692,5.0
693,6.0
694,11.0
695,14.0
696,39.0
697,54.0
698,89.0
699,107.0
700,119.0
701,135.0
702,188.0
703,221.0
704,192.0
705,197.0
706,225.0
707,249.0
708,288.0
709,318.0
710,400.0
711,457.0
712,140.0
713,494.0
714,471.0
715,466.0
716,440.0
717,381.0
718,282.0
719,186.0
720,126.0
721,90.0
722,7.0
723,11.0
724,11.0
725,16.0
726,15.0
727,10.0
728,9.0
729,8.0
730,5.0
731,6.0
732,10.0
733,12.0
734,14.0
735,41.0
736,55.0
737,67.0
738,79.0
739,80.0
740,73.0
741,75.0
742,68.0
743,95.0
744,140.0
745,190.0
746,250.0
747,303.0
748,394.0
749,467.0
750,477.0
751,466.0
752,463.0
753,455.0
754,428.0
755,399.0
756,297.0
757,195.0
758,132.0
759,95.0
760,14.0
761,11.0
762,15.0
763,13.0
764,13.0
765,8.0
766,10.0
767,8.0
768,5.0
769,4.0
770,6.0
771,10.0
772,10.0
773,13.0
774,38.0
775,41.0
776,45.0
777,42.0
778,28.0
779,9.0
780,28.0
781,47.0
782,63.0
783,113.0
784,163.0
785,249.0
786,367.0
787,423.0
788,427.0
789,449.0
790,451.0
791,444.0
792,411.0
793,386.0
794,304.0
795,186.0
796,132.0
797,97.0
798,13.0
799,13.0
800,13.0
801,13.0
802,8.0
803,8.0
804,8.0
805,6.0
806,3.0
807,3.0
808,4.0
809,5.0
810,10.0
811,11.0
812,14.0
813,15.0
814,17.0
815,9.0
816,7.0
817,7.0
818,7.0
819,11.0
820,17.0
821,20.0
822,47.0
823,132.0
824,256.0
825,333.0
826,391.0
827,430.0
828,433.0
829,414.0
830,378.0
831,360.0
832,274.0
833,177.0
834,123.0
835,95.0
