Grid_Number,Health
0,18.0
1,41.0
2,76.0
3,73.0
4,169.0
5,267.0
6,312.0
7,322.0
8,284.0
9,286.0
10,216.0
11,117.0
12,79.0
13,40.0
14,10.0
15,5.0
16,6.0
17,3.0
18,4.0
19,3.0
20,4.0
21,14.0
22,66.0
23,71.0
24,73.0
25,70.0
26,66.0
27,82.0
28,79.0
29,80.0
30,107.0
31,92.0
32,58.0
33,51.0
34,24.0
35,9.0
36,7.0
37,7.0
38,60.0
39,158.0
40,203.0
41,374.0
42,481.0
43,434.0
44,417.0
45,401.0
46,467.0
47,463.0
48,414.0
49,299.0
50,201.0
51,161.0
52,168.0
53,112.0
54,135.0
55,159.0
56,124.0
57,78.0
58,79.0
59,124.0
60,221.0
61,250.0
62,253.0
63,248.0
64,238.0
65,154.0
66,149.0
67,181.0
68,229.0
69,280.0
70,271.0
71,197.0
72,143.0
73,72.0
74,24.0
75,7.0
76,165.0
77,205.0
78,342.0
79,520.0
80,674.0
81,758.0
82,684.0
83,705.0
84,705.0
85,706.0
86,660.0
87,557.0
88,353.0
89,404.0
90,416.0
91,375.0
92,302.0
93,329.0
94,361.0
95,350.0
96,319.0
97,427.0
98,387.0
99,380.0
100,353.0
101,357.0
102,404.0
103,440.0
104,369.0
105,351.0
106,375.0
107,389.0
108,402.0
109,349.0
110,246.0
111,162.0
112,70.0
113,25.0
114,181.0
115,279.0
116,429.0
117,574.0
118,763.0
119,825.0
120,865.0
121,304.0
122,903.0
123,899.0
124,885.0
125,743.0
126,694.0
127,634.0
128,621.0
129,597.0
130,590.0
131,489.0
132,530.0
133,590.0
134,629.0
135,702.0
136,636.0
137,567.0
138,567.0
139,576.0
140,613.0
141,710.0
142,674.0
143,578.0
144,573.0
145,565.0
146,539.0
147,506.0
148,428.0
149,313.0
150,194.0
151,80.0
152,202.0
153,301.0
154,473.0
155,634.0
156,814.0
157,864.0
158,345.0
159,346.0
160,264.0
161,1037.0
162,127.0
163,190.0
164,899.0
165,863.0
166,957.0
167,855.0
168,781.0
169,709.0
170,748.0
171,779.0
172,892.0
173,892.0
174,887.0
175,862.0
176,801.0
177,862.0
178,835.0
179,880.0
180,936.0
181,112.0
182,169.0
183,766.0
184,767.0
185,703.0
186,655.0
187,566.0
188,429.0
189,216.0
190,239.0
191,309.0
192,177.0
193,248.0
194,255.0
195,278.0
196,342.0
197,444.0
198,335.0
199,229.0
200,253.0
201,302.0
202,250.0
203,1076.0
204,1142.0
205,1061.0
206,206.0
207,981.0
208,228.0
209,952.0
210,1118.0
211,1084.0
212,1078.0
213,1078.0
214,275.0
215,1015.0
216,1068.0
217,1070.0
218,1120.0
219,191.0
220,215.0
221,271.0
222,282.0
223,217.0
224,859.0
225,748.0
226,630.0
227,379.0
228,238.0
229,307.0
230,414.0
231,228.0
232,230.0
233,247.0
234,289.0
235,289.0
236,236.0
237,250.0
238,254.0
239,327.0
240,327.0
241,278.0
242,1230.0
243,1249.0
244,297.0
245,353.0
246,292.0
247,284.0
248,277.0
249,279.0
250,241.0
251,333.0
252,311.0
253,296.0
254,232.0
255,233.0
256,236.0
257,225.0
258,270.0
259,321.0
260,322.0
261,311.0
262,1018.0
263,823.0
264,696.0
265,506.0
266,232.0
267,296.0
268,363.0
269,508.0
270,669.0
271,162.0
272,152.0
273,187.0
274,178.0
275,214.0
276,196.0
277,245.0
278,360.0
279,291.0
280,307.0
281,336.0
282,320.0
283,307.0
284,347.0
285,302.0
286,302.0
287,329.0
288,321.0
289,301.0
290,293.0
291,264.0
292,263.0
293,271.0
294,347.0
295,241.0
296,264.0
297,274.0
298,301.0
299,1229.0
300,1077.0
301,893.0
302,679.0
303,539.0
304,193.0
305,261.0
306,324.0
307,444.0
308,549.0
309,639.0
310,666.0
311,808.0
312,891.0
313,72.0
314,154.0
315,227.0
316,235.0
317,382.0
318,339.0
319,282.0
320,1481.0
321,214.0
322,224.0
323,260.0
324,272.0
325,318.0
326,312.0
327,318.0
328,259.0
329,204.0
330,248.0
331,288.0
332,357.0
333,303.0
334,1400.0
335,277.0
336,334.0
337,337.0
338,338.0
339,887.0
340,681.0
341,506.0
342,116.0
343,207.0
344,260.0
345,337.0
346,395.0
347,479.0
348,470.0
349,558.0
350,532.0
351,657.0
352,815.0
353,936.0
354,185.0
355,274.0
356,283.0
357,195.0
358,273.0
359,258.0
360,217.0
361,179.0
362,187.0
363,237.0
364,285.0
365,312.0
366,200.0
367,1342.0
368,1236.0
369,1075.0
370,251.0
371,299.0
372,311.0
373,317.0
374,288.0
375,303.0
376,277.0
377,291.0
378,264.0
379,470.0
380,3.0
381,32.0
382,129.0
383,162.0
384,178.0
385,239.0
386,263.0
387,268.0
388,398.0
389,478.0
390,548.0
