Grid_Number,Education
0,40.0
1,58.0
2,87.0
3,100.0
4,107.0
5,139.0
6,181.0
7,190.0
8,179.0
9,179.0
10,116.0
11,86.0
12,56.0
13,24.0
14,10.0
15,9.0
16,9.0
17,3.0
18,2.0
19,2.0
20,3.0
21,20.0
22,74.0
23,87.0
24,89.0
25,89.0
26,94.0
27,125.0
28,115.0
29,114.0
30,123.0
31,108.0
32,64.0
33,57.0
34,35.0
35,19.0
36,16.0
37,16.0
38,70.0
39,106.0
40,167.0
41,253.0
42,315.0
43,293.0
44,298.0
45,297.0
46,310.0
47,297.0
48,257.0
49,186.0
50,131.0
51,115.0
52,86.0
53,89.0
54,96.0
55,122.0
56,109.0
57,89.0
58,85.0
59,152.0
60,157.0
61,168.0
62,173.0
63,184.0
64,202.0
65,200.0
66,187.0
67,180.0
68,197.0
69,209.0
70,176.0
71,128.0
72,96.0
73,60.0
74,26.0
75,17.0
76,111.0
77,162.0
78,257.0
79,367.0
80,459.0
81,503.0
82,458.0
83,454.0
84,441.0
85,462.0
86,411.0
87,310.0
88,239.0
89,207.0
90,244.0
91,230.0
92,184.0
93,196.0
94,215.0
95,218.0
96,231.0
97,280.0
98,260.0
99,270.0
100,264.0
101,297.0
102,306.0
103,319.0
104,305.0
105,275.0
106,248.0
107,263.0
108,262.0
109,194.0
110,155.0
111,107.0
112,57.0
113,28.0
114,136.0
115,222.0
116,297.0
117,411.0
118,509.0
119,556.0
120,571.0
121,171.0
122,574.0
123,576.0
124,547.0
125,472.0
126,412.0
127,379.0
128,384.0
129,352.0
130,341.0
131,290.0
132,309.0
133,336.0
134,372.0
135,406.0
136,384.0
137,352.0
138,367.0
139,399.0
140,416.0
141,445.0
142,444.0
143,400.0
144,361.0
145,348.0
146,338.0
147,318.0
148,260.0
149,198.0
150,162.0
151,76.0
152,158.0
153,224.0
154,324.0
155,446.0
156,539.0
157,588.0
158,200.0
159,227.0
160,200.0
161,690.0
162,86.0
163,115.0
164,574.0
165,543.0
166,544.0
167,519.0
168,465.0
169,426.0
170,444.0
171,474.0
172,497.0
173,500.0
174,498.0
175,465.0
176,497.0
177,552.0
178,548.0
179,544.0
180,583.0
181,117.0
182,123.0
183,460.0
184,454.0
185,411.0
186,366.0
187,303.0
188,242.0
189,158.0
190,188.0
191,230.0
192,112.0
193,168.0
194,169.0
195,188.0
196,220.0
197,253.0
198,218.0
199,173.0
200,140.0
201,170.0
202,140.0
203,674.0
204,705.0
205,661.0
206,117.0
207,557.0
208,148.0
209,560.0
210,597.0
211,590.0
212,616.0
213,597.0
214,167.0
215,644.0
216,670.0
217,656.0
218,652.0
219,148.0
220,128.0
221,141.0
222,133.0
223,107.0
224,477.0
225,404.0
226,354.0
227,217.0
228,189.0
229,228.0
230,285.0
231,151.0
232,159.0
233,171.0
234,191.0
235,197.0
236,175.0
237,164.0
238,184.0
239,221.0
240,186.0
241,178.0
242,802.0
243,803.0
